figure_id,filename,family,title,chart_type,source_table,output_file,row_count,column_count,notes
figure_01,figure_01_polarity_distribution.xlsx,basic_metrics,Polarity distribution,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\basic_metrics\salt_and_sacrifice_polarity_summary.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\basic_metrics\figure_01_polarity_distribution.xlsx,2,2,Based on positive and negative review totals.
figure_02,figure_02_language_distribution_top10.xlsx,basic_metrics,Language distribution (top 10),bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\basic_metrics\salt_and_sacrifice_language_distribution.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\basic_metrics\figure_02_language_distribution_top10.xlsx,10,2,Top 10 languages ranked by review count.
figure_03,figure_03_polarity_by_playtime_band.xlsx,basic_metrics,Polarity by playtime band,bar_stacked,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\basic_metrics\salt_and_sacrifice_cross_tab_polarity_by_playtime_band.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\basic_metrics\figure_03_polarity_by_playtime_band.xlsx,7,3,Counts of positive and negative reviews by playtime band.
figure_04,figure_04_monthly_review_volume.xlsx,temporal_metrics,Monthly review volume,line,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\temporal_metrics\salt_and_sacrifice_monthly_review_volume_extended.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\temporal_metrics\figure_04_monthly_review_volume.xlsx,30,2,Review count by month.
figure_05,figure_05_monthly_polarity_trends.xlsx,temporal_metrics,Monthly polarity trends,line,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\temporal_metrics\salt_and_sacrifice_monthly_polarity_trends.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\temporal_metrics\figure_05_monthly_polarity_trends.xlsx,30,3,Positive and negative review counts by month.
figure_06,figure_06_monthly_positive_percentage.xlsx,temporal_metrics,Monthly positive percentage,line,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\temporal_metrics\salt_and_sacrifice_monthly_polarity_trends.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\temporal_metrics\figure_06_monthly_positive_percentage.xlsx,30,2,Percentage of positive reviews by month.
figure_07,figure_07_monthly_language_trends_top5.xlsx,temporal_metrics,Monthly language trends (top 5),line,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\temporal_metrics\salt_and_sacrifice_monthly_language_trends.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\temporal_metrics\figure_07_monthly_language_trends_top5.xlsx,30,6,Top 5 languages by global review count across months.
figure_08,figure_08_developer_response_timeline.xlsx,temporal_metrics,Developer response timeline,line,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\temporal_metrics\salt_and_sacrifice_developer_response_timeline.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\temporal_metrics\figure_08_developer_response_timeline.xlsx,30,2,Reviews with developer response by review-creation month.
figure_09,figure_09_top_unigrams_positive.xlsx,text_metrics,Top unigrams in positive reviews,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\text_metrics\global\top_unigrams_positive.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\text_metrics\figure_09_top_unigrams_positive.xlsx,20,2,Top 20 unigrams in positive reviews.
figure_10,figure_10_top_unigrams_negative.xlsx,text_metrics,Top unigrams in negative reviews,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\text_metrics\global\top_unigrams_negative.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\text_metrics\figure_10_top_unigrams_negative.xlsx,20,2,Top 20 unigrams in negative reviews.
figure_11,figure_11_distinctive_terms_positive_vs_negative.xlsx,text_metrics,Distinctive terms: positive vs negative,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\text_metrics\global\distinctive_terms_positive_vs_negative.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\text_metrics\figure_11_distinctive_terms_positive_vs_negative.xlsx,20,2,Top 20 terms most overrepresented in positive reviews.
figure_12,figure_12_distinctive_terms_negative_vs_positive.xlsx,text_metrics,Distinctive terms: negative vs positive,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\text_metrics\global\distinctive_terms_negative_vs_positive.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\text_metrics\figure_12_distinctive_terms_negative_vs_positive.xlsx,20,2,Top 20 terms most overrepresented in negative reviews.
figure_13,figure_13_emotion_distribution_summary.xlsx,emotion_metrics,Emotion distribution summary,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\emotion_metrics\salt_and_sacrifice_emotion_distribution_summary.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\emotion_metrics\figure_13_emotion_distribution_summary.xlsx,10,2,Mean emotion signal per 100 tokens.
figure_14,figure_14_emotion_by_polarity.xlsx,emotion_metrics,Emotion profiles by polarity,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\emotion_metrics\salt_and_sacrifice_emotion_by_polarity.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\emotion_metrics\figure_14_emotion_by_polarity.xlsx,10,3,Emotion mean per 100 tokens for positive and negative segments.
figure_15,figure_15_emotion_by_month_selected.xlsx,emotion_metrics,Selected emotions by month,line,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\emotion_metrics\salt_and_sacrifice_emotion_by_month.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\emotion_metrics\figure_15_emotion_by_month_selected.xlsx,29,5,Selected emotional dimensions over time.
figure_16,figure_16_theme_distribution_summary.xlsx,theme_metrics,Theme distribution summary,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\theme_metrics\salt_and_sacrifice_theme_distribution_summary.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\theme_metrics\figure_16_theme_distribution_summary.xlsx,13,2,Percentage of analysed reviews containing each theme.
figure_17,figure_17_theme_by_polarity.xlsx,theme_metrics,Themes by polarity,bar,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\theme_metrics\salt_and_sacrifice_theme_by_polarity.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\theme_metrics\figure_17_theme_by_polarity.xlsx,13,3,Theme review share for positive and negative segments.
figure_18,figure_18_theme_by_month_selected.xlsx,theme_metrics,Selected themes by month,line,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\tables\theme_metrics\salt_and_sacrifice_theme_by_month.csv,C:\laragon\www\steam-reviews-collection-and-metrics-toolkit\results\salt_and_sacrifice\figures\theme_metrics\figure_18_theme_by_month_selected.xlsx,29,5,Selected themes over time.
