review_created_date_month,language,review_count,positive_reviews,negative_reviews,positive_percentage,negative_percentage
2023-11,english,182,137,45,75.2747,24.7253
2023-11,schinese,94,38,56,40.4255,59.5745
2023-11,brazilian,20,17,3,85.0,15.0
2023-11,russian,19,10,9,52.6316,47.3684
2023-11,japanese,16,7,9,43.75,56.25
2023-11,spanish,16,15,1,93.75,6.25
2023-11,koreana,11,4,7,36.3636,63.6364
2023-11,tchinese,10,4,6,40.0,60.0
2023-11,german,8,3,5,37.5,62.5
2023-11,thai,4,3,1,75.0,25.0
2023-11,italian,3,2,1,66.6667,33.3333
2023-11,turkish,3,2,1,66.6667,33.3333
2023-11,polish,2,2,0,100.0,0.0
2023-11,ukrainian,2,2,0,100.0,0.0
2023-11,french,1,1,0,100.0,0.0
2023-11,latam,1,1,0,100.0,0.0
2023-11,portuguese,1,0,1,0.0,100.0
2023-11,vietnamese,1,1,0,100.0,0.0
2023-12,english,50,37,13,74.0,26.0
2023-12,schinese,30,14,16,46.6667,53.3333
2023-12,russian,8,4,4,50.0,50.0
2023-12,spanish,4,2,2,50.0,50.0
2023-12,brazilian,3,2,1,66.6667,33.3333
2023-12,japanese,3,2,1,66.6667,33.3333
2023-12,tchinese,3,2,1,66.6667,33.3333
2023-12,koreana,2,1,1,50.0,50.0
2023-12,czech,1,1,0,100.0,0.0
2023-12,german,1,0,1,0.0,100.0
2023-12,polish,1,1,0,100.0,0.0
2023-12,turkish,1,0,1,0.0,100.0
2024-01,english,38,26,12,68.4211,31.5789
2024-01,schinese,16,11,5,68.75,31.25
2024-01,brazilian,6,6,0,100.0,0.0
2024-01,spanish,6,5,1,83.3333,16.6667
2024-01,russian,4,2,2,50.0,50.0
2024-01,italian,2,1,1,50.0,50.0
2024-01,polish,2,1,1,50.0,50.0
2024-01,german,1,1,0,100.0,0.0
2024-01,japanese,1,1,0,100.0,0.0
2024-01,koreana,1,1,0,100.0,0.0
2024-01,tchinese,1,1,0,100.0,0.0
2024-02,english,8,6,2,75.0,25.0
2024-02,schinese,5,4,1,80.0,20.0
2024-02,russian,3,3,0,100.0,0.0
2024-02,brazilian,2,1,1,50.0,50.0
2024-02,spanish,2,2,0,100.0,0.0
2024-02,japanese,1,1,0,100.0,0.0
2024-02,polish,1,1,0,100.0,0.0
2024-02,turkish,1,1,0,100.0,0.0
2024-03,english,35,26,9,74.2857,25.7143
2024-03,schinese,28,12,16,42.8571,57.1429
2024-03,brazilian,4,2,2,50.0,50.0
2024-03,russian,4,2,2,50.0,50.0
2024-03,tchinese,4,3,1,75.0,25.0
2024-03,french,3,3,0,100.0,0.0
2024-03,koreana,3,1,2,33.3333,66.6667
2024-03,polish,3,3,0,100.0,0.0
2024-03,japanese,2,0,2,0.0,100.0
2024-03,latam,1,1,0,100.0,0.0
2024-03,spanish,1,1,0,100.0,0.0
2024-03,thai,1,0,1,0.0,100.0
2024-03,turkish,1,1,0,100.0,0.0
2024-04,english,16,10,6,62.5,37.5
2024-04,schinese,6,3,3,50.0,50.0
2024-04,russian,4,4,0,100.0,0.0
2024-04,japanese,2,0,2,0.0,100.0
2024-04,brazilian,1,1,0,100.0,0.0
2024-04,polish,1,1,0,100.0,0.0
2024-05,english,56,35,21,62.5,37.5
2024-05,schinese,56,30,26,53.5714,46.4286
2024-05,brazilian,15,11,4,73.3333,26.6667
2024-05,russian,6,3,3,50.0,50.0
2024-05,japanese,5,4,1,80.0,20.0
2024-05,tchinese,4,2,2,50.0,50.0
2024-05,french,3,2,1,66.6667,33.3333
2024-05,german,3,2,1,66.6667,33.3333
2024-05,spanish,3,1,2,33.3333,66.6667
2024-05,koreana,1,0,1,0.0,100.0
2024-05,latam,1,1,0,100.0,0.0
2024-05,portuguese,1,1,0,100.0,0.0
2024-05,thai,1,0,1,0.0,100.0
2024-05,ukrainian,1,1,0,100.0,0.0
2024-06,schinese,19,11,8,57.8947,42.1053
2024-06,english,13,9,4,69.2308,30.7692
2024-06,brazilian,3,3,0,100.0,0.0
2024-06,russian,3,3,0,100.0,0.0
2024-06,latam,2,1,1,50.0,50.0
2024-06,spanish,2,2,0,100.0,0.0
2024-06,french,1,1,0,100.0,0.0
2024-06,italian,1,1,0,100.0,0.0
2024-06,tchinese,1,0,1,0.0,100.0
2024-07,english,31,20,11,64.5161,35.4839
2024-07,schinese,21,5,16,23.8095,76.1905
2024-07,brazilian,12,10,2,83.3333,16.6667
2024-07,russian,9,7,2,77.7778,22.2222
2024-07,french,2,2,0,100.0,0.0
2024-07,japanese,2,1,1,50.0,50.0
2024-07,german,1,1,0,100.0,0.0
2024-07,spanish,1,1,0,100.0,0.0
2024-07,tchinese,1,1,0,100.0,0.0
2024-07,thai,1,0,1,0.0,100.0
2024-07,turkish,1,0,1,0.0,100.0
2024-08,english,18,13,5,72.2222,27.7778
2024-08,schinese,11,6,5,54.5455,45.4545
2024-08,russian,4,3,1,75.0,25.0
2024-08,japanese,2,2,0,100.0,0.0
2024-08,latam,1,1,0,100.0,0.0
2024-08,spanish,1,1,0,100.0,0.0
2024-09,english,8,5,3,62.5,37.5
2024-09,schinese,6,4,2,66.6667,33.3333
2024-09,japanese,3,0,3,0.0,100.0
2024-09,russian,2,2,0,100.0,0.0
2024-09,tchinese,2,1,1,50.0,50.0
2024-09,koreana,1,1,0,100.0,0.0
2024-10,english,9,7,2,77.7778,22.2222
2024-10,russian,5,3,2,60.0,40.0
2024-10,brazilian,3,3,0,100.0,0.0
2024-10,schinese,3,1,2,33.3333,66.6667
2024-10,french,1,1,0,100.0,0.0
2024-10,tchinese,1,1,0,100.0,0.0
2024-11,schinese,14,6,8,42.8571,57.1429
2024-11,english,6,4,2,66.6667,33.3333
2024-11,russian,3,0,3,0.0,100.0
2024-11,spanish,3,3,0,100.0,0.0
2024-11,koreana,2,0,2,0.0,100.0
2024-11,brazilian,1,1,0,100.0,0.0
2024-11,czech,1,1,0,100.0,0.0
2024-11,italian,1,1,0,100.0,0.0
2024-11,tchinese,1,1,0,100.0,0.0
2024-11,turkish,1,1,0,100.0,0.0
2024-12,schinese,32,11,21,34.375,65.625
2024-12,english,27,20,7,74.0741,25.9259
2024-12,russian,7,4,3,57.1429,42.8571
2024-12,brazilian,5,4,1,80.0,20.0
2024-12,french,3,0,3,0.0,100.0
2024-12,japanese,3,2,1,66.6667,33.3333
2024-12,koreana,3,1,2,33.3333,66.6667
2024-12,spanish,3,3,0,100.0,0.0
2024-12,tchinese,3,2,1,66.6667,33.3333
2024-12,czech,1,0,1,0.0,100.0
2024-12,german,1,0,1,0.0,100.0
2024-12,italian,1,1,0,100.0,0.0
2024-12,polish,1,1,0,100.0,0.0
2024-12,ukrainian,1,1,0,100.0,0.0
2025-01,english,21,11,10,52.381,47.619
2025-01,schinese,14,5,9,35.7143,64.2857
2025-01,russian,7,6,1,85.7143,14.2857
2025-01,spanish,6,4,2,66.6667,33.3333
2025-01,brazilian,5,5,0,100.0,0.0
2025-01,french,1,1,0,100.0,0.0
2025-01,italian,1,0,1,0.0,100.0
2025-02,english,35,27,8,77.1429,22.8571
2025-02,schinese,20,7,13,35.0,65.0
2025-02,russian,6,5,1,83.3333,16.6667
2025-02,brazilian,5,5,0,100.0,0.0
2025-02,tchinese,4,1,3,25.0,75.0
2025-02,latam,2,2,0,100.0,0.0
2025-02,ukrainian,2,2,0,100.0,0.0
2025-02,french,1,1,0,100.0,0.0
2025-02,german,1,1,0,100.0,0.0
2025-02,japanese,1,0,1,0.0,100.0
2025-02,polish,1,1,0,100.0,0.0
2025-02,spanish,1,1,0,100.0,0.0
2025-03,english,26,21,5,80.7692,19.2308
2025-03,schinese,25,9,16,36.0,64.0
2025-03,spanish,4,3,1,75.0,25.0
2025-03,russian,2,2,0,100.0,0.0
2025-03,danish,1,1,0,100.0,0.0
2025-03,japanese,1,0,1,0.0,100.0
2025-03,koreana,1,0,1,0.0,100.0
2025-03,polish,1,1,0,100.0,0.0
2025-03,vietnamese,1,0,1,0.0,100.0
2025-04,english,7,4,3,57.1429,42.8571
2025-04,schinese,7,1,6,14.2857,85.7143
2025-04,russian,6,4,2,66.6667,33.3333
2025-04,brazilian,3,3,0,100.0,0.0
2025-04,french,1,0,1,0.0,100.0
2025-04,koreana,1,1,0,100.0,0.0
2025-04,spanish,1,1,0,100.0,0.0
2025-05,english,9,4,5,44.4444,55.5556
2025-05,brazilian,4,4,0,100.0,0.0
2025-05,russian,4,1,3,25.0,75.0
2025-05,schinese,3,1,2,33.3333,66.6667
2025-05,dutch,1,1,0,100.0,0.0
2025-05,spanish,1,1,0,100.0,0.0
2025-06,english,9,6,3,66.6667,33.3333
2025-06,schinese,8,4,4,50.0,50.0
2025-06,brazilian,5,5,0,100.0,0.0
2025-06,russian,2,2,0,100.0,0.0
2025-06,ukrainian,1,1,0,100.0,0.0
2025-07,english,20,16,4,80.0,20.0
2025-07,schinese,14,5,9,35.7143,64.2857
2025-07,russian,5,3,2,60.0,40.0
2025-07,brazilian,4,3,1,75.0,25.0
2025-07,german,3,2,1,66.6667,33.3333
2025-07,japanese,2,0,2,0.0,100.0
2025-07,koreana,2,0,2,0.0,100.0
2025-07,finnish,1,1,0,100.0,0.0
2025-07,hungarian,1,1,0,100.0,0.0
2025-07,polish,1,1,0,100.0,0.0
2025-07,spanish,1,1,0,100.0,0.0
2025-08,english,7,5,2,71.4286,28.5714
2025-08,russian,6,5,1,83.3333,16.6667
2025-08,schinese,5,4,1,80.0,20.0
2025-08,brazilian,2,1,1,50.0,50.0
2025-08,italian,1,1,0,100.0,0.0
2025-08,tchinese,1,1,0,100.0,0.0
2025-08,turkish,1,0,1,0.0,100.0
2025-09,english,17,10,7,58.8235,41.1765
2025-09,schinese,13,8,5,61.5385,38.4615
2025-09,russian,3,2,1,66.6667,33.3333
2025-09,brazilian,2,2,0,100.0,0.0
2025-09,czech,1,1,0,100.0,0.0
2025-09,polish,1,1,0,100.0,0.0
2025-09,spanish,1,1,0,100.0,0.0
2025-10,english,19,12,7,63.1579,36.8421
2025-10,schinese,8,1,7,12.5,87.5
2025-10,russian,3,3,0,100.0,0.0
2025-10,french,1,0,1,0.0,100.0
2025-10,latam,1,1,0,100.0,0.0
2025-10,polish,1,1,0,100.0,0.0
2025-11,english,12,6,6,50.0,50.0
2025-11,schinese,7,0,7,0.0,100.0
2025-11,russian,2,1,1,50.0,50.0
2025-11,portuguese,1,1,0,100.0,0.0
2025-11,tchinese,1,0,1,0.0,100.0
2025-12,english,12,10,2,83.3333,16.6667
2025-12,schinese,9,5,4,55.5556,44.4444
2025-12,brazilian,5,4,1,80.0,20.0
2025-12,spanish,3,3,0,100.0,0.0
2025-12,finnish,1,1,0,100.0,0.0
2025-12,koreana,1,1,0,100.0,0.0
2025-12,polish,1,0,1,0.0,100.0
2025-12,russian,1,0,1,0.0,100.0
2025-12,tchinese,1,1,0,100.0,0.0
2025-12,thai,1,0,1,0.0,100.0
2026-01,english,19,14,5,73.6842,26.3158
2026-01,schinese,18,5,13,27.7778,72.2222
2026-01,russian,5,4,1,80.0,20.0
2026-01,brazilian,3,3,0,100.0,0.0
2026-01,spanish,3,1,2,33.3333,66.6667
2026-01,koreana,2,2,0,100.0,0.0
2026-01,tchinese,2,2,0,100.0,0.0
2026-01,german,1,0,1,0.0,100.0
2026-01,japanese,1,0,1,0.0,100.0
2026-02,english,20,16,4,80.0,20.0
2026-02,schinese,6,2,4,33.3333,66.6667
2026-02,spanish,3,3,0,100.0,0.0
2026-02,brazilian,2,1,1,50.0,50.0
2026-02,german,2,0,2,0.0,100.0
2026-02,koreana,1,1,0,100.0,0.0
2026-02,russian,1,0,1,0.0,100.0
2026-02,ukrainian,1,1,0,100.0,0.0
2026-03,english,13,9,4,69.2308,30.7692
2026-03,schinese,12,11,1,91.6667,8.3333
2026-03,brazilian,3,2,1,66.6667,33.3333
2026-03,russian,3,1,2,33.3333,66.6667
2026-03,spanish,3,3,0,100.0,0.0
2026-03,turkish,2,1,1,50.0,50.0
2026-03,hungarian,1,1,0,100.0,0.0
2026-03,italian,1,1,0,100.0,0.0
2026-03,ukrainian,1,1,0,100.0,0.0
2026-04,schinese,5,2,3,40.0,60.0
2026-04,russian,2,1,1,50.0,50.0
2026-04,spanish,1,1,0,100.0,0.0
2026-04,tchinese,1,1,0,100.0,0.0
