review_created_year_month,review_count,total_tokens,theme_match_count_total,difficulty_mean_count,difficulty_mean_per_100_tokens,difficulty_review_share,combat_mean_count,combat_mean_per_100_tokens,combat_review_share,bosses_mean_count,bosses_mean_per_100_tokens,bosses_review_share,exploration_mean_count,exploration_mean_per_100_tokens,exploration_review_share,story_mean_count,story_mean_per_100_tokens,story_review_share,worldbuilding_mean_count,worldbuilding_mean_per_100_tokens,worldbuilding_review_share,music_audio_mean_count,music_audio_mean_per_100_tokens,music_audio_review_share,graphics_visuals_mean_count,graphics_visuals_mean_per_100_tokens,graphics_visuals_review_share,performance_technical_mean_count,performance_technical_mean_per_100_tokens,performance_technical_review_share,controls_gamefeel_mean_count,controls_gamefeel_mean_per_100_tokens,controls_gamefeel_review_share,replayability_builds_mean_count,replayability_builds_mean_per_100_tokens,replayability_builds_review_share,price_value_mean_count,price_value_mean_per_100_tokens,price_value_review_share,bugs_issues_mean_count,bugs_issues_mean_per_100_tokens,bugs_issues_review_share
2023-11,177,15131,871,0.265537,0.56061,16.9492,1.723164,0.943353,33.3333,0.762712,0.64857,27.6836,0.661017,0.484281,27.6836,0.169492,0.106601,9.6045,0.056497,0.042632,5.6497,0.056497,0.200331,4.5198,0.418079,0.358981,15.8192,0.073446,0.048632,5.0847,0.073446,0.038696,3.9548,0.259887,0.29211,12.9944,0.129944,0.23539,7.9096,0.271186,0.422615,12.9944
2023-12,50,2962,166,0.16,0.189626,12.0,0.94,0.948902,34.0,0.68,1.12441,34.0,0.46,0.89815,30.0,0.3,0.333322,16.0,0.02,0.025974,2.0,0.04,0.068182,4.0,0.16,0.447241,10.0,0.02,0.025641,2.0,0.0,0.0,0.0,0.16,0.15799,14.0,0.2,0.470903,14.0,0.18,0.199448,12.0
2024-01,38,4681,262,0.184211,0.225715,15.7895,2.421053,1.675767,47.3684,1.052632,0.614498,39.4737,0.894737,0.589038,36.8421,0.394737,0.591553,21.0526,0.052632,0.011586,5.2632,0.210526,0.118799,10.5263,0.684211,0.415517,26.3158,0.052632,0.012341,5.2632,0.157895,0.040258,5.2632,0.315789,0.170082,18.4211,0.131579,0.098703,13.1579,0.342105,0.10431,21.0526
2024-02,7,293,14,0.0,0.0,0.0,0.571429,0.753983,42.8571,0.714286,0.9261,42.8571,0.285714,2.571429,28.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.172117,14.2857,0.0,0.0,0.0,0.142857,0.172117,14.2857,0.142857,0.274725,14.2857
2024-03,34,3328,225,0.323529,0.283644,17.6471,2.294118,1.20563,47.0588,1.264706,1.30229,47.0588,0.764706,0.491973,35.2941,0.323529,0.25524,17.6471,0.029412,0.010975,2.9412,0.147059,0.061213,8.8235,0.264706,0.186137,20.5882,0.117647,0.076894,2.9412,0.117647,0.079188,8.8235,0.411765,0.239987,29.4118,0.264706,0.469198,14.7059,0.294118,0.22166,20.5882
2024-04,16,812,49,0.0,0.0,0.0,0.6875,1.292368,31.25,1.0,1.671776,37.5,0.5625,0.762894,31.25,0.0625,0.15625,6.25,0.0,0.0,0.0,0.0625,0.15625,6.25,0.125,0.257056,12.5,0.0625,0.271739,6.25,0.125,0.212174,12.5,0.125,0.072254,6.25,0.1875,0.455858,18.75,0.0625,1.5625,6.25
2024-05,55,4657,314,0.236364,0.164621,14.5455,2.090909,1.438124,41.8182,0.672727,0.891977,30.9091,0.745455,0.552941,30.9091,0.581818,0.371494,23.6364,0.036364,0.016525,3.6364,0.109091,0.134267,7.2727,0.363636,0.395362,23.6364,0.0,0.0,0.0,0.127273,0.096881,9.0909,0.363636,0.304653,21.8182,0.290909,0.263566,20.0,0.090909,0.13049,9.0909
2024-06,13,315,9,0.076923,0.192308,7.6923,0.076923,0.064641,7.6923,0.076923,0.452489,7.6923,0.230769,0.726496,23.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.064641,7.6923,0.0,0.0,0.0,0.076923,0.064641,7.6923,0.076923,0.192308,7.6923,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,30,1675,88,0.1,0.944552,10.0,0.866667,0.77744,30.0,0.3,0.427595,23.3333,0.733333,1.742442,30.0,0.066667,0.145658,6.6667,0.033333,0.012531,3.3333,0.0,0.0,0.0,0.3,0.177974,13.3333,0.033333,0.01287,3.3333,0.066667,0.090389,6.6667,0.033333,0.012531,3.3333,0.1,3.48717,10.0,0.3,0.662965,13.3333
2024-08,18,1233,88,0.166667,0.114155,5.5556,1.833333,2.098404,50.0,1.166667,1.083856,33.3333,0.611111,0.430451,27.7778,0.5,0.560749,33.3333,0.055556,0.038052,5.5556,0.0,0.0,0.0,0.222222,0.321255,11.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.127072,11.1111,0.055556,0.054466,5.5556,0.111111,0.217865,5.5556
2024-09,8,704,53,0.125,0.235849,12.5,1.875,0.94224,37.5,2.125,0.389908,12.5,0.125,1.25,12.5,0.25,0.045872,12.5,0.125,1.25,12.5,0.125,0.022936,12.5,1.125,1.433486,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.631307,25.0,0.25,0.045872,12.5
2024-10,9,468,31,0.111111,0.793651,11.1111,1.888889,1.451185,33.3333,0.111111,0.04852,11.1111,0.333333,0.14556,11.1111,0.0,0.0,0.0,0.111111,0.066534,11.1111,0.111111,0.066534,11.1111,0.222222,0.09704,11.1111,0.111111,0.04852,11.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444,0.212094,22.2222
2024-11,5,865,49,0.2,0.03125,20.0,3.0,0.733994,40.0,2.6,0.870427,40.0,1.4,0.351372,40.0,0.8,0.125,20.0,0.0,0.0,0.0,0.2,0.03125,20.0,0.8,0.191311,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0625,20.0,0.0,0.0,0.0,0.4,0.0625,20.0
2024-12,27,3170,196,0.37037,0.302687,25.9259,3.222222,1.484002,55.5556,1.444444,0.587832,33.3333,0.62963,0.493894,33.3333,0.555556,0.189081,25.9259,0.037037,0.016461,3.7037,0.185185,0.045295,7.4074,0.259259,0.131617,14.8148,0.0,0.0,0.0,0.0,0.0,0.0,0.296296,0.202806,22.2222,0.111111,0.016787,7.4074,0.148148,0.016498,3.7037
2025-01,20,950,61,0.05,0.116279,5.0,1.05,2.583989,35.0,0.95,1.010683,30.0,0.25,0.092362,10.0,0.1,0.048689,10.0,0.05,0.036496,5.0,0.0,0.0,0.0,0.1,0.173611,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.099151,15.0,0.1,0.069444,5.0,0.2,0.055866,5.0
2025-02,35,1593,66,0.171429,0.338926,17.1429,0.371429,0.423389,17.1429,0.371429,0.450555,17.1429,0.285714,0.093052,8.5714,0.114286,0.1546,8.5714,0.057143,0.093947,5.7143,0.0,0.0,0.0,0.2,0.808,11.4286,0.0,0.0,0.0,0.028571,0.02181,2.8571,0.2,0.325763,11.4286,0.057143,0.485383,5.7143,0.028571,0.036166,2.8571
2025-03,26,1822,97,0.192308,0.051923,7.6923,1.153846,0.841039,30.7692,0.653846,0.348806,26.9231,0.923077,0.793052,30.7692,0.307692,0.245964,23.0769,0.0,0.0,0.0,0.038462,0.04995,3.8462,0.115385,0.030115,7.6923,0.038462,0.031526,3.8462,0.0,0.0,0.0,0.192308,0.179577,15.3846,0.038462,0.007947,3.8462,0.076923,0.093561,7.6923
2025-04,7,667,30,0.0,0.0,0.0,1.571429,0.297056,14.2857,1.285714,0.480591,28.5714,0.428571,0.081015,14.2857,0.142857,0.027005,14.2857,0.142857,0.027005,14.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571,1.012227,28.5714,0.285714,0.05401,14.2857
2025-05,9,514,28,0.333333,0.24492,22.2222,1.333333,1.582978,44.4444,0.444444,0.158165,11.1111,0.111111,0.194932,11.1111,0.111111,0.194932,11.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.039541,11.1111,0.0,0.0,0.0,0.111111,0.165837,11.1111,0.111111,0.194932,11.1111,0.111111,0.039541,11.1111,0.333333,1.282051,11.1111
2025-06,8,385,14,0.125,0.297619,12.5,0.625,0.307882,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.061576,12.5,0.0,0.0,0.0,0.125,0.061576,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.169382,25.0
2025-07,19,1055,58,0.368421,0.411538,21.0526,1.105263,0.682751,26.3158,0.578947,0.698524,26.3158,0.105263,0.174553,10.5263,0.210526,0.774517,10.5263,0.0,0.0,0.0,0.105263,0.291635,10.5263,0.105263,0.097969,10.5263,0.052632,0.036049,5.2632,0.0,0.0,0.0,0.105263,0.047368,10.5263,0.210526,0.317545,15.7895,0.105263,0.047368,10.5263
2025-08,7,395,35,0.285714,0.522648,28.5714,1.142857,1.43804,57.1429,1.142857,1.43804,57.1429,1.142857,1.361235,57.1429,0.285714,0.433956,28.5714,0.571429,0.30722,14.2857,0.0,0.0,0.0,0.428571,0.230415,14.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,17,1655,135,0.470588,0.112411,11.7647,1.941176,1.394196,41.1765,1.352941,1.55301,35.2941,1.235294,0.337002,23.5294,0.588235,0.983813,29.4118,0.352941,0.104264,11.7647,0.352941,0.081763,11.7647,0.764706,1.454866,35.2941,0.0,0.0,0.0,0.176471,0.254005,17.6471,0.411765,0.089941,11.7647,0.0,0.0,0.0,0.294118,0.174918,17.6471
2025-10,19,915,60,0.105263,0.116345,10.5263,1.157895,1.252388,42.1053,0.473684,0.940021,31.5789,0.421053,0.837173,26.3158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263158,0.41158,15.7895,0.052632,0.116959,5.2632,0.052632,0.016869,5.2632,0.210526,0.32948,21.0526,0.157895,0.391425,10.5263,0.263158,0.515351,10.5263
2025-11,12,1195,76,0.75,0.404676,33.3333,2.416667,2.120482,50.0,0.75,1.173809,25.0,0.666667,0.439266,25.0,0.416667,0.453019,25.0,0.166667,0.03885,8.3333,0.166667,0.317044,16.6667,0.166667,0.061501,8.3333,0.083333,0.058275,8.3333,0.083333,0.03075,8.3333,0.25,0.336469,16.6667,0.166667,0.197164,16.6667,0.25,0.179326,25.0
2025-12,12,400,24,0.0,0.0,0.0,0.333333,0.700345,25.0,0.25,0.115741,8.3333,0.5,0.31545,16.6667,0.083333,0.122549,8.3333,0.083333,0.122549,8.3333,0.083333,0.03858,8.3333,0.333333,0.154321,8.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.122549,8.3333,0.166667,0.455247,16.6667,0.083333,0.03858,8.3333
2026-01,19,2110,118,0.421053,0.247172,21.0526,1.894737,0.99504,42.1053,1.0,1.27699,52.6316,1.052632,0.836703,36.8421,0.526316,0.24972,26.3158,0.210526,0.068043,15.7895,0.0,0.0,0.0,0.473684,0.144934,15.7895,0.157895,0.081811,5.2632,0.105263,0.049859,10.5263,0.210526,0.060024,10.5263,0.052632,0.154799,5.2632,0.105263,0.461185,10.5263
2026-02,20,2117,113,0.2,0.237503,15.0,2.3,0.942326,35.0,0.8,0.959921,35.0,1.15,0.367162,25.0,0.0,0.0,0.0,0.05,0.011312,5.0,0.05,0.011312,5.0,0.7,0.167674,20.0,0.0,0.0,0.0,0.05,0.015873,5.0,0.2,0.100112,15.0,0.1,0.021707,10.0,0.05,0.015873,5.0
2026-03,12,1294,102,0.416667,1.356848,33.3333,3.166667,1.458536,41.6667,1.833333,0.307347,16.6667,1.25,0.216009,16.6667,0.333333,0.636619,16.6667,0.0,0.0,0.0,0.083333,0.308642,8.3333,0.25,0.650617,16.6667,0.0,0.0,0.0,0.5,0.356979,16.6667,0.083333,0.033333,8.3333,0.416667,0.048337,8.3333,0.166667,0.019335,8.3333
